,Species Key,Taxon Key,GBIF Species Name,Source
37,5769795,5769795,Stigmella oxyacanthella,Quebec_Pohl2018
38,9608585,9608585,Stigmella crataegifoliella,Quebec_Pohl2018
39,9614351,9939318,Stigmella purpuratella,Quebec_Pohl2018
40,9582193,1735898,Stigmella scintillans,Quebec_Pohl2018
41,9275915,9275915,Stigmella argentifasciella,Quebec_Pohl2018
42,9324487,9324487,Stigmella villosella,Quebec_Pohl2018
43,9333068,9333068,Stigmella apicialbella,Quebec_Pohl2018
44,9471353,9471353,Stigmella procrastinella,Quebec_Pohl2018
45,6097278,6097278,Bohemannia pulverosella,Quebec_Pohl2018
46,5102436,5102436,Glaucolepis saccharella,Quebec_Pohl2018
47,9281105,9281105,Fomoria hypericella,Quebec_Pohl2018
48,9332098,9332098,Fomoria pteliaeella,Quebec_Pohl2018
49,9400895,9400895,Etainia sericopeza,Quebec_Pohl2018
50,9355563,9355563,Etainia ochrefasciella,Quebec_Pohl2018
51,9245604,9245604,Zimmermannia bosquella,Quebec_Pohl2018
52,9554790,10470198,Zimmermannia grandisella,Quebec_Pohl2018
53,1735852,1735852,Ectoedemia populella,Quebec_Pohl2018
54,1735857,10604037,Ectoedemia canutus,Quebec_Pohl2018
